epoch,train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1
1,0.9194141925309678,0.5210280373831776,0.33335324869305455,0.3444625870668004,0.32236401997808195,0.9010604393534265,0.5414847161572053,0.1804949053857351,0.3333333333333333,0.23418319169027382
2,0.7314436172027825,0.6518691588785047,0.43168848272008936,0.4485096369341102,0.4395031225524548,0.7537914808660615,0.6506550218340611,0.4383294301327088,0.43887330528284246,0.4252245799385203
3,0.6577995866072883,0.7492211838006231,0.498766894516079,0.5218467410869921,0.509196131953702,0.7521722374004047,0.6069868995633187,0.45901084010840104,0.39142122487143527,0.3523564965237746
4,0.590870617706085,0.7842679127725857,0.5219122280400099,0.5461969861902628,0.5330808667876914,0.7678695604790766,0.6157205240174672,0.4971001221001221,0.39679756895745677,0.35707431495895087
5,0.5691490075855612,0.7772585669781932,0.517407789580172,0.5416657773224335,0.5284748918293195,0.682213491227429,0.7030567685589519,0.47423376942448253,0.4786115007012623,0.46652299482488163
6,0.5405182032570289,0.8029595015576324,0.5342165394525743,0.5591084857669348,0.5458898254260297,0.6704982064957181,0.7467248908296943,0.49717729630759844,0.5307386629266012,0.5110433604336043
7,0.5114852364560897,0.822429906542056,0.5477891061531603,0.5738662639715979,0.5594804440958288,0.6556571662165712,0.7336244541484717,0.4891701828410689,0.5058438522674147,0.49376076037620403
8,0.5232178052637807,0.8138629283489096,0.5418051835465016,0.5674496453295198,0.5535746797925267,0.8502731320639365,0.5938864628820961,0.5002214839424142,0.37774661056568487,0.32364891189402795
9,0.48747474567912447,0.8294392523364486,0.5518504090377873,0.5773809523809524,0.5640507598962192,0.6403837734955367,0.759825327510917,0.5032992930086411,0.532258064516129,0.5173071342701986
10,0.4665402031947519,0.8489096573208723,0.5650213320116233,0.5916869437151822,0.577415562545674,0.6504381054353505,0.7554585152838428,0.5010213982942648,0.53424497428705,0.5161988805817707
11,0.4588190682023485,0.8489096573208723,0.5651858166777178,0.5921387305856154,0.5776243843830109,0.6419529284972811,0.7554585152838428,0.49994729074425476,0.5276998597475456,0.5132363132363132
12,0.43637928153124184,0.8551401869158879,0.5696023635073686,0.5968567017424032,0.5818252741329665,0.6644194461893307,0.7336244541484717,0.4906888549272655,0.5058438522674147,0.49411764705882355
13,0.42435562044289254,0.8613707165109035,0.5731962576788652,0.5998804721350665,0.5859058702843186,0.6612225990888854,0.7510917030567685,0.498731854729912,0.5222066386161758,0.5090379580235505
14,0.43235299970687735,0.8629283489096573,0.5742564621613204,0.6010882016036655,0.5869915595707681,0.6824825650739879,0.7467248908296943,0.4959342982598796,0.5185834502103787,0.5056179775280899
15,0.40103173901173184,0.8722741433021807,0.580429724388368,0.6074310046743933,0.5932903399885198,0.6709142217990093,0.7554585152838428,0.49994729074425476,0.5276998597475456,0.5132363132363132
16,0.3977896594834105,0.8730529595015576,0.5810916179337232,0.6079219226910845,0.5939894636015325,0.6562015907472919,0.7379912663755459,0.49058380414312613,0.523492286115007,0.5047293354503386
17,0.37949493490275565,0.8870716510903427,0.5904374359236612,0.6178879141676094,0.6035756726933198,0.7268839355509354,0.7554585152838428,0.5006410256410256,0.5333099579242636,0.5160369368630987
18,0.38555873155222503,0.8753894080996885,0.5825320512820512,0.609733516893983,0.5954425923569581,0.7476274320392109,0.7292576419213974,0.5023501384328117,0.49567554932211316,0.4844914535636185
19,0.36454946434015056,0.8862928348909658,0.5899924490964953,0.6167193158452683,0.6029619541654553,0.7124138727588946,0.7161572052401747,0.48097132945617793,0.511921458625526,0.49074523770978357
20,0.3282837142639814,0.9018691588785047,0.6003416438525216,0.6282318769432171,0.6137104815120903,0.7160353917612259,0.7205240174672489,0.48108025633201096,0.512739597942964,0.4931569836633128
